tykk/72/www_vorumaateataja_ee.tykk:
<doc id="277476" length="1k-10k" crawl_date="2013-01-10" url="http://www.vorumaateataja.ee/index.php/ee/kuulutused/63-viimased-uudised/6106-voru-kohtumaja-moistis-kohut-ule-eestilise-kelmide-grupi-ule" web_domain="www.vorumaateataja.ee" langdiff="0.28" texttype="periodicals"> 
<gap/>
<p heading="1"> 
Reklaam    reklaam+0||S sg n||
kes    kes+0||P pl n||+    kes+0||P sg n||
Nageli    Nagel+0||H sg g||+    Nageli+0||H sg g||
sõnul    sõna+ul||S pl ad||
teevad    tege+vad||V vad||
klubi    klubi+0||S sg n|| %klubi+0||S sg g||
omanäoliseks    oma_näoline+ks||A sg tr||
ja    ja+0||J||
eriliseks    eriline+ks||A sg tr||
.    .+||Z||
“    “+||Z||
Meile    mina+le||P pl all||
meeldib    meeldi+b||V b||
öelda    ütle+da||V da||
,    ,+||Z||
et    et+0||J||
meie    mina+0||P pl g||
noorteklubis    noor+te_klubi+s||S sg in||
on    ole+0||V b||+    ole+0||V vad||
liikmeid    liige+id||S pl p||
lasteaiast    laste_aed+st||S sg el||
riigikoguni    riigi_kogu+ni||S sg ter||
.”    .”+||Z||
Kahest    kahene+t||A sg p|| %kaks+st||N sg el||
klubi    klubi+0||S sg g||
endisest    endine+st||A sg el||
esimehest    esi_mees+st||S sg el||
on    ole+0||V b||    ole+0||V vad||+
saanud    saa+nud||V nud||+    saa=nud+0||A||    saa=nud+0||A sg n||    saa=nud+d||A pl n||
vallavanemad    valla_vanem+d||S pl n||
–    -+||Z||
Kalvi    Kalvi+0||H sg n||
Kõva    Kõva+0||H sg n||
ja    ja+0||J||
Tiit    Tiit+0||H sg n||
Toots    Toots+0||H sg n||
.    .+||Z||
“    “+||Z||
Kalvi    Kalvi+0||H sg n||
Kõvast    Kõva+st||H sg el||
on    ole+0||V b||+    ole+0||V vad||
tänaseks    tänaseks+0||D||
saanud    saa+nud||V nud||+    saa=nud+0||A||    saa=nud+0||A sg n||    saa=nud+d||A pl n||
riigikogu    riigi_kogu+0||S sg g||
liige    liige+0||S sg n||
ning    ning+0||J||
tema    tema+0||P sg g||
side    side+0||S sg n||
noorteklubi    noor+te_klubi+0||S sg g||
ja    ja+0||J||
Rõugega    Rõuge+ga||H sg kom||
on    ole+0||V b||+    ole+0||V vad||
endiselt    endiselt+0||D||
säilinud    säili+nud||V nud||+    säilinud+0||A||    säilinud+0||A sg n||    säilinud+d||A pl n||
,”    ,”+||Z||
ütles    ütle+s||V s||
Nagel    Nagel+0||H sg n||
.    .+||Z||
</p>
<p heading="0"> 
Vanusepiiri    vanuse_piir+0||S adt|| %vanuse_piir+0||S sg p||
pole    ole+0||V neg o||
Kuigi    kuigi+0||D||    kuigi+0||J||+
klubi    klubi+0||S sg g||
liikmete    liige+te||S pl g||
vanus    vanus+0||S sg n||
jääb    jää+b||V b||
enamjaolt    enam_jaolt+0||D||
vahemikku    vahemik+0||S sg p|| %vahemik+0||S adt||
7    7+0||N ?||
–    -+||Z||
21    21+0||N ?||
eluaastat    elu_aasta+t||S sg p||
,    ,+||Z||
on    ole+0||V b||+    ole+0||V vad||
noorsootöötaja    noor_soo_töötaja+0||S sg g||
sõnul    sõna+ul||S pl ad||
ka    ka+0||D||
erandeid    erand+id||S pl p||
.    .+||Z||
Näiteks    näide+ks||S sg tr||
on    ole+0||V b||    ole+0||V vad||+
klubis    klubi+s||S sg in||
ka    ka+0||D||
mõned    mõni+d||P pl n||
lasteaiaealised    laste_aia_ealine+d||A pl n||
,    ,+||Z||
kelle    kes+0||P pl g||+    kes+0||P sg g||
vanemad    vanem+d||S pl n||
juba    juba+0||D||
ammused    ammune+d||A pl n||
liikmed    liige+d||S pl n||
.    .+||Z||
Vanim    vanim+0||U sg n||
liige    liige+0||S sg n||
peaks    pida+ks||V ks||
Nageli    Nagel+0||H sg g||+    Nageli+0||H sg g||
mäletamist    mäletamine+t||S sg p||
mööda    mööda+0||K||
olema    ole+ma||V ma||
36-aastane.    36_aastane+0||A sg n||
“    “+||Z||
Meil    mina+l||P pl ad||
pole    ole+0||V neg o||
vanusepiire    vanuse_piir+e||S pl p||
–    -+||Z||
kes    kes+0||P pl n||    kes+0||P sg n||+
kord    kord+0||S sg n||
sisse    sisse+0||D||
astunud    astu+nud||V nud||+    astu=nud+0||A||    astu=nud+0||A sg n||    astu=nud+d||A pl n||
ja    ja+0||J||
hingelt    hing+lt||S sg abl||+    hinge+lt||S sg abl||
veel    veel+0||D||
noor    noor+0||A sg n||
,    ,+||Z||
on    ole+0||V b||+    ole+0||V vad||
meiega    mina+ga||P pl kom||
jäänud    jää+nud||V nud||+    jäänud+0||A||    jäänud+0||A sg n||    jäänud+d||A pl n||
.”    .”+||Z||
</p>
<p heading="0"> 
Kui    kui+0||D||    kui+0||J||+
hetkel    hetk+l||S sg ad||
pesitsevad    pesitse+vad||V vad||
noored    noor+d||S pl n||
Rõuge    Rõuge+0||H sg g||
tervisekeskuse    tervise_keskus+0||S sg g||
ruumides    ruum+des||S pl in||
,    ,+||Z||
sest    sest+0||J||
maja    maja+0||S sg n||
on    ole+0||V b||+    ole+0||V vad||
remondis    remont+s||S sg in||
,    ,+||Z||
siis    siis+0||J||
tuleva    tulev+0||A sg g||
aasta    aasta+0||S sg g||
esimesel    esimene+l||O sg ad||
poolel    pool+l||S sg ad||
renoveeritakse    renoveeri+takse||V takse||
Nageli    Nagel+0||H sg g||+    Nageli+0||H sg g||
sõnul    sõna+ul||S pl ad||
noortekeskuse    noor+te_keskus+0||S sg g||
hoone    hoone+0||S sg n||
.    .+||Z||
Seal    seal+0||D||
hakkavad    hakka+vad||V vad||
koos    koos+0||D||
käima    käi+ma||V ma||
ka    ka+0||D||
noorteklubi    noor+te_klubi+0||S sg g||
liikmed    liige+d||S pl n||
.    .+||Z||
</p>
<p heading="0"> 
Alates    alates+0||K||
1997.    1997.+0||O ?||
aastast    aasta+st||S sg el||
on    ole+0||V b||+    ole+0||V vad||
Rõuge    Rõuge+0||H sg g||
Noorteklubi    noor+te_klubi+0||S sg g|| %noor+te_klubi+0||S sg n||
korraldanud    korralda+nud||V nud||+    korralda=nud+0||A||    korralda=nud+0||A sg n||    korralda=nud+d||A pl n||
Veepidu    vee_pidu+0||S sg g|| %Vee_pidu+0||H sg p||
ja    ja+0||J||
Paadirallit    paadi_ralli+t||S sg p|| %Paadi_ralli+t||H sg p||
,    ,+||Z||
millest    mis+st||P pl el||+    mis+st||P sg el||
tänaseks    tänaseks+0||D||
on    ole+0||V b||    ole+0||V vad||+
saanud    saa+nud||V nud||+    saa=nud+0||A||    saa=nud+0||A sg n||    saa=nud+d||A pl n||
ühed    üks+d||P pl n||
populaarsemad    populaarsem+d||C pl n||
üritused    üritus+d||S pl n||
maakonnas    maakond+s||S sg in||
.    .+||Z||
</p>
<p heading="0"> 
Tavaliselt    tavaliselt+0||D||
juuli    juuli+0||S sg g||
alguses    algus+s||S sg in||
toimuva    toimuv+0||A sg g||
ürituse    üritus+0||S sg g||
korraldamine    korraldamine+0||S sg n||
on    ole+0||V b||+    ole+0||V vad||
Nageli    Nagel+0||H sg g||+    Nageli+0||H sg g||
sõnul    sõna+ul||S pl ad||
klubilistele    klubi=line+tele||A pl all||
tõeline    tõeline+0||A sg n||
ettevõtmine    ette_võtmine+0||S sg n||
.    .+||Z||
“    “+||Z||
Iga    iga+0||P sg n|| %iga+0||P sg g||
järgmise    järgmine+0||A sg g||
paadiralli    paadi_ralli+0||S sg g||
korraldamise    korraldamine+0||S sg g||
koosolekud    koos_olek+d||S pl n||
hakkavad    hakka+vad||V vad||
toimuma    toimu+ma||V ma||
juba    juba+0||D||
oktoobris    oktoober+s||S sg in||
,”    ,”+||Z||
rääkis    rääki+s||V s||
Nagel    Nagel+0||H sg n||
.    .+||Z||
</p>
<p heading="0"> 
ARVAMUSED    arvamus+d||S pl n||
</p>
<p heading="0"> 
Maria    Maria+0||H sg n||
Reiljan    Reiljan+0||H sg n||
(    (+||Z||
18    18+0||N ?||
)    )+||Z||
</p>
<p heading="0"> 
Olen    ole+n||V n||
olnud    ol=nud+0||A||    ol=nud+0||A sg n||    ol=nud+d||A pl n||    ole+nud||V nud||+
RNK    RNK+0||Y ?||
(    (+||Z||
Rõuge    Rõuge+0||H sg g||
Noorteklubi    noor+te_klubi+0||S sg g||
)    )+||Z||
liige    liige+0||S sg n||
ligi    ligi+0||K||
kaks    kaks+0||N sg n||
aastat    aasta+t||S sg p||
.    .+||Z||
Selle    see+0||P sg g||
aja    aeg+0||S sg g||
jooksul    jooksul+0||K||
olen    ole+n||V n||
osalenud    osale+nud||V nud||+    osale=nud+0||A||    osale=nud+0||A sg n||    osale=nud+d||A pl n||
kolmel    kolm+l||N sg ad||
noortevahetusel    noor+te_vahetus+l||S sg ad||
,    ,+||Z||
aidanud    aita+nud||V nud||+    aida=nud+0||A||    aida=nud+0||A sg n||    aida=nud+d||A pl n||
kaasa    kaasa+0||D||
paadiralli    paadi_ralli+0||S sg g||
korraldamisele    korraldamine+le||S sg all||
ja    ja+0||J||
võtnud    võt+nud||V nud||+    võt=nud+0||A||    võt=nud+0||A sg n||    võt=nud+d||A pl n||
osa    osa+0||S sg n||
ka    ka+0||D||
muudest    muu+dest||P pl el||
üritustest    üritus+test||S pl el||
.    .+||Z||
Üks    üks+0||N sg n||
peamisi    peamine+i||A pl p||
kogemusi    kogemus+i||S pl p||
,    ,+||Z||
mida    mis+da||P pl p||    mis+da||P sg p||+
noorteklubist    noor+te_klubi+st||S sg el||
saab    saa+b||V b||
,    ,+||Z||
on    ole+0||V b||+    ole+0||V vad||
tiimitöö    tiimi_töö+0||S sg n||
.    .+||Z||
Ürituste    üritus+te||S pl g||
korraldamisel    korraldamine+l||S sg ad||
ei    ei+0||V neg||
saa    saa+0||V o||
mõelda    mõtle+da||V da||
ainult    ainult+0||D||
,    ,+||Z||
et    et+0||J||
mina    mina+0||S sg n||
ja    ja+0||J||
maailm    maa_ilm+0||S sg n||
.    .+||Z||
Tuleb    tule+b||V b||
arvestada    arvesta+da||V da||
kõigiga    kõik+ga||P pl kom||
.    .+||Z||
Samuti    samuti+0||D||
saab    saa+b||V b||
hea    hea+0||A sg g||
planeerimise    planeerimine+0||S sg g||
oskuse    oskus+0||S sg g||
.    .+||Z||
Noorteklubi    noor+te_klubi+0||S sg g||
pidev    pidev+0||A sg n||
tegutsemine    tegutsemine+0||S sg n||
rahvusvahelises    rahvus_vaheline+s||A sg in||
noortevahetuses    noor+te_vahetus+s||S sg in||
on    ole+0||V b||+    ole+0||V vad||
andnud    and+nud||V nud||+    and=nud+0||A||    and=nud+0||A sg n||    and=nud+d||A pl n||
kindlasti    kindlasti+0||D||
hea    hea+0||A sg n||
keelepraktika    keele_praktika+0||S sg n|| %keele_praktika+0||S sg g||
.    .+||Z||
Lisaks    lisa+ks||S sg tr||
on    ole+0||V b||+    ole+0||V vad||
mul    mina+l||P sg ad||
tänu    tänu+0||K||
noortevahetustele    noor+te_vahetus+tele||S pl all||
palju    palju+0||D||
sõpru    sõber+u||S pl p||
üle    üle+0||D||
Euroopa    Euroopa+0||H sg g||
,    ,+||Z||
kellega    kes+ga||P pl kom||+    kes+ga||P sg kom||
suhtlen    suhtle+n||V n||
tihedalt    tihedalt+0||D||
.    .+||Z||
Noortevahetuste    noor+te_vahetus+te||S pl g||
üks    üks+0||P sg n||
suur    suur+0||A sg n||
pluss    pluss+0||S sg n||
on    ole+0||V b||+    ole+0||V vad||
see    see+0||P sg n||
,    ,+||Z||
et    et+0||J||
on    ole+0||V b||+    ole+0||V vad||
võimalus    võimalus+0||S sg n||
avastada    avasta+da||V da||
eri    eri+0||A||
kultuure    kultuur+e||S pl p||
vahetult    vahetult+0||D||
,    ,+||Z||
sest    sest+0||J||
enamasti    enamasti+0||D||
ei    ei+0||V neg||
toimu    toimu+0||V o||
projektid    projekt+d||S pl n||
suurtes    suur+tes||A pl in||
turismimekades    turismi_meka+des||S pl in||
.    .+||Z||
Saab    saa+b||V b||
näha    näge+a||V da||
kohti    koht+i||S pl p||
,    ,+||Z||
kuhu    kuhu+0||D||
kunagi    kunagi+0||D||
elus    elu+s||S sg in||
ilmselt    ilmselt+0||D||
ei    ei+0||V neg||
satuks    sattu+ks||V ks||
.    .+||Z||
Näiteks    näiteks+0||D||
käisin    käi+sin||V sin||
Türgis    Türgi+s||H sg in||
Batmanis    Batmanis+0||H sg n|| %Batman+s||H sg in||
,    ,+||Z||
mis    mis+0||P pl n||    mis+0||P sg n||+
asub    asu+b||V b||
Süüria    Süüria+0||H sg g||
piiri    piir+0||S sg g||
lähedal    lähedal+0||K||
ja    ja+0||J||
kuhu    kuhu+0||D||
satub    sattu+b||V b||
harva    harva+0||D||
turiste    turist+e||S pl p||
.    .+||Z||
Samuti    samuti+0||D||
on    ole+0||V b||+    ole+0||V vad||
noortevahetustel    noor+te_vahetus+tel||S pl ad||
heaks    hea+ks||A sg tr||
tavaks    tava+ks||S sg tr||
see    see+0||P sg n||
,    ,+||Z||
et    et+0||J||
iga    iga+0||P sg n||
riik    riik+0||S sg n||
korraldab    korralda+b||V b||
oma    oma+0||P sg g||
kultuuriõhtu    kultuuri_õhtu+0||S sg g||
,    ,+||Z||
kus    kus+0||D||
pakutakse    pakku+takse||V takse||
rahvustoite    rahvus_toit+e||S pl p||
ja    ja+0||J||
mängitakse    mängi+takse||V takse||
rahvusmänge    rahvus_mäng+e||S pl p||
.    .+||Z||
Sel    see+l||P sg ad||
aastal    aasta+l||S sg ad||
on    ole+0||V b||+    ole+0||V vad||
noorteklubi    noor+te_klubi+0||S sg n||
käivitanud    käivita+nud||V nud||+    käivita=nud+0||A||    käivita=nud+0||A sg n||    käivita=nud+d||A pl n||
mitmed    mitu+d||P pl n||
muusikaringid    muusika_ring+d||S pl n||
,    ,+||Z||
kus    kus+0||D||
saab    saa+b||V b||
õppida    õppi+da||V da||
kitarri    kitarr+0||S sg p||
ja    ja+0||J||
trumme    trumm+e||S pl p||
.    .+||Z||
Kahjuks    kahjuks+0||D||
ei    ei+0||V neg||
ole    ole+0||V o||
mul    mina+l||P sg ad||
endal    ise+l||P sg ad||
võimalust    võimalus+t||S sg p||
neist    see+st||P pl el||
osa    osa+0||S sg p||
võtta    võt+a||V da||
,    ,+||Z||
sest    sest+0||J||
õpin    õppi+n||V n||
Nõos    nõbu+s||S sg in||    nõgu+s||S sg in|| %Nõo+s||H sg in||
,    ,+||Z||
aga    aga+0||J||
koos    koos+0||K||
teiste    teine+te||O pl g||    teine+te||P pl g||+
noortega    noor+tega||S pl kom||
on    ole+0||V b||+    ole+0||V vad||
instrumendi    instrument+0||S sg g||
õppimine    õppimine+0||S sg n||
kindlasti    kindlasti+0||D||
palju    palju+0||D||
huvitavam    huvitavam+0||C sg n||
ja    ja+0||J||
motiveerivam    motiveeri=vam+0||C sg n||
kui    kui+0||D||    kui+0||J||+
üksi    üksi+0||D||
.    .+||Z||
Noorteklubi    noor+te_klubi+0||S sg g||
liikmeks    liige+ks||S sg tr||
olemine    olemine+0||S sg n||
on    ole+0||V b||+    ole+0||V vad||
teinud    tege+nud||V nud||+    tei=nud+0||A||    tei=nud+0||A sg n||    tei=nud+d||A pl n||
mind    mina+d||P sg p||
kindlasti    kindlasti+0||D||
julgemaks    julgem+ks||C sg tr||
,    ,+||Z||
avatumaks    avatum+ks||C sg tr||
ja    ja+0||J||
suhtlemisaltimaks    suhtlemis_alti=m+ks||C sg tr||
kui    kui+0||D||    kui+0||J||+
ma    mina+0||P sg n||
varem    varem+0||D||
olin    ole+in||V sin||
.    .+||Z||
</p>
